key,kind,calls,lectures
0.25,width,1,1
0.4,width,3,3
0.5,width,27,17
0.6,width,1,1
0.7,width,6,3
0.75,width,4,2
0.8,width,42,16
0.9,width,2,1
1,width,66,33
1.2,width,11,4
1.3,width,6,4
1.4,width,3,2
1.5,width,48,24
1.6,width,5,2
1.8,width,6,2
2,width,977,153
2.2,width,13,3
2.4,width,1,1
2.5,width,11,5
3,width,5,4
4,width,1,1
15,width,2,2
house,class,977,153
other,class,264,84
emphasis,class,33,15
de-emphasised,class,119,61
plain,class,112,33
