series,lectures,writing,math,code,figures,references,links,admonitions,overall,HIGH,MEDIUM,LOW,NONE
lecture-python-intro,56,6.3,8.7,8.2,6.5,9.3,9.7,10.0,8.4,12,0,21,23
lecture-python-programming,27,4.1,9.0,8.5,7.3,,9.8,9.9,8.1,19,0,5,3
lecture-python.myst,145,5.9,7.2,8.5,6.5,9.6,9.8,10.0,8.1,54,1,45,45
lecture-python-advanced.myst,68,4.6,5.9,7.3,6.3,9.2,9.2,10.0,7.4,44,0,19,5
lecture-dp,52,5.6,6.8,8.0,6.4,9.3,9.5,10.0,7.9,28,0,12,12
TOTAL,348,5.5,7.2,8.1,6.5,9.4,9.6,10.0,8.0,157,1,102,88
